tbl	t1	t162
area	239	239
building	5	5
campus	2	2
floor	14	14
ibms_bac_alarm	6	6
ibms_bac_system_log	8	8
ibms_channel	39	39
ibms_device	19	19
ibms_device_runtime	14	14
ibms_energy_alarm	12	7
ibms_energy_manual_reading	3	3
ibms_energy_meter	23	23
ibms_energy_rate	6	6
ibms_energy_record	21	21
ibms_energy_statistics_daily	63	63
ibms_env_alarm	2	2
ibms_env_data_record	99	99
ibms_hvac_device	18	18
ibms_lighting_alarm	4	4
ibms_lighting_circuit	14	14
ibms_lighting_controller	4	4
ibms_lighting_gateway	3	3
ibms_lighting_operation_log	6	6
ibms_lighting_scene	5	5
ibms_lighting_schedule	4	4
ibms_space	4	4
ibms_water_device	8	8
