TABLE_NAME	INDEX_NAME	COLUMN_NAME	SEQ_IN_INDEX
access_parking_charge_rule	uk_tenant_lot_type	tenant_id	1
access_parking_charge_rule	uk_tenant_lot_type	lot_id	2
access_parking_charge_rule	uk_tenant_lot_type	vehicle_type	3
access_parking_lot	uk_code	code	1
ibms_channel	uk_code_tenant	tenant_id	1
ibms_channel	uk_code_tenant	code	2
ibms_device	uk_device_code_tenant	tenant_id	1
ibms_device	uk_device_code_tenant	device_code	2
ibms_discovered_device	uk_ip_discovery_time	ip_address	1
ibms_discovered_device	uk_ip_discovery_time	discovery_time	2
ibms_discovered_device	uk_ip_discovery_time	deleted	3
ibms_energy_meter	uk_meter_code	meter_code	1
ibms_energy_meter	uk_meter_code	tenant_id	2
ibms_energy_statistics_daily	uk_meter_date	meter_id	1
ibms_energy_statistics_daily	uk_meter_date	stat_date	2
ibms_env_sensor	uk_sensor_code	sensor_code	1
ibms_env_sensor	uk_sensor_code	tenant_id	2
ibms_hvac_device	uk_device_code	device_code	1
ibms_hvac_device	uk_device_code	tenant_id	2
ibms_lighting_circuit	uk_circuit_code	circuit_code	1
ibms_lighting_circuit	uk_circuit_code	tenant_id	2
ibms_lighting_controller	uk_controller_code	controller_code	1
ibms_lighting_controller	uk_controller_code	tenant_id	2
ibms_lighting_gateway	uk_gateway_code	gateway_code	1
ibms_lighting_gateway	uk_gateway_code	tenant_id	2
ibms_lighting_scene	uk_scene_code	scene_code	1
ibms_lighting_scene	uk_scene_code	tenant_id	2
ibms_product	uk_product_code	product_code	1
ibms_product_property	uk_product_prop_name	product_id	1
ibms_product_property	uk_product_prop_name	prop_name	2
ibms_space	uk_space_code_tenant	tenant_id	1
ibms_space	uk_space_code_tenant	space_code	2
ibms_water_device	uk_device_code	device_code	1
ibms_water_device	uk_device_code	tenant_id	2
iot_access_device_capability	uk_device_id	device_id	1
iot_access_device_capability	uk_device_id	deleted	2
iot_access_permission_group_device	uk_group_device_channel	group_id	1
iot_access_permission_group_device	uk_group_device_channel	device_id	2
iot_access_permission_group_device	uk_group_device_channel	channel_id	3
iot_access_permission_group_device	uk_group_device_channel	deleted	4
iot_access_permission_group_person	uk_group_person	group_id	1
iot_access_permission_group_person	uk_group_person	person_id	2
iot_access_person	uk_person_code	person_code	1
iot_access_person	uk_person_code	tenant_id	2
iot_access_person	uk_person_code	deleted	3
iot_access_person_credential	uk_card_no	card_no	1
iot_access_person_credential	uk_card_no	tenant_id	2
